IP,SrcCount,DstCount
140.82.121.4,2,3
185.199.109.133,2,3
185.199.111.154,2,3
172.64.41.4,19,19
192.168.154.2,2,2
192.168.154.128,30,27
185.199.110.133,5,6
185.199.109.154,7,8
140.82.121.4,22,22
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,56,56
192.168.154.2,2,2
192.168.154.128,108,106
140.82.112.22,7,8
140.82.121.6,12,13
34.95.67.112,25,26
185.199.110.133,9,9
185.199.109.154,9,9
140.82.121.4,33,33
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,199,196
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,236,235
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,236,235
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,236,235
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,236,235
34.107.221.82,2,2
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,238,237
34.107.221.82,2,2
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,238,237
34.107.221.82,2,2
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,238,237
34.107.221.82,2,2
140.82.112.22,20,18
140.82.121.6,16,17
34.95.67.112,31,33
185.199.110.133,15,15
185.199.109.154,9,9
140.82.121.4,43,43
185.199.109.133,7,7
185.199.111.154,7,7
172.64.41.4,85,85
192.168.154.2,2,2
192.168.154.128,238,237
